Cl.Ord.ID,Instrument,Side,Quantity,Price
aa281,Rose,2,790,61
aa282,Rose,1,580,234
aa283,Rose,2,630,64
aa284,Rose,1,220,574
aa285,Rose,2,230,565
aa286,Rose,2,830,173
aa287,Rose,2,20,145
aa288,Rose,2,490,726
aa289,Rose,1,30,989
aa290,Rose,1,120,773
aa291,Rose,1,730,324
aa292,Rose,1,40,962
aa293,Rose,1,650,131
aa294,Rose,2,400,442
aa295,Rose,1,860,636
aa296,Rose,2,50,471
aa297,Rose,2,530,959
aa298,Rose,1,200,466
aa299,Rose,1,800,805
aa300,Rose,2,240,725
aa301,Rose,1,160,759
aa302,Rose,1,460,454
aa303,Rose,1,580,170
aa304,Rose,1,380,466
aa305,Rose,2,380,459
aa306,Rose,1,10,266
aa307,Rose,1,850,214
aa308,Rose,1,80,487
aa309,Rose,1,270,660
aa310,Rose,2,600,840
aa311,Rose,1,230,789
aa312,Rose,1,770,570
aa313,Rose,1,900,269
aa314,Rose,1,540,205
aa315,Rose,1,690,294
aa316,Rose,1,930,640
aa317,Rose,2,730,237
aa318,Rose,1,500,893
aa319,Rose,2,80,393
aa320,Rose,2,230,187
aa321,Rose,1,770,562
aa322,Rose,2,960,925
aa323,Rose,1,140,45
aa324,Rose,2,780,272
aa325,Rose,2,530,357
aa326,Rose,2,500,853
aa327,Rose,1,960,712
aa328,Rose,2,390,432
aa329,Rose,2,260,448
aa330,Rose,2,470,434
aa331,Rose,2,770,375
aa332,Rose,2,630,540
aa333,Rose,1,800,380
aa334,Rose,2,710,639
aa335,Rose,2,440,417
aa336,Rose,2,140,383
aa337,Rose,2,350,350
aa338,Rose,2,720,323
aa339,Rose,2,30,955
aa340,Rose,1,610,828
aa341,Rose,1,150,637
aa342,Rose,1,30,217
aa343,Rose,2,300,506
aa344,Rose,2,650,177
aa345,Rose,1,850,600
aa346,Rose,2,340,236
aa347,Rose,2,910,475
aa348,Rose,2,400,831
aa349,Rose,2,410,439
aa350,Rose,2,410,488
aa351,Rose,1,850,272
aa352,Rose,2,980,937
aa353,Rose,1,580,919
aa354,Rose,2,170,1000
aa355,Rose,2,570,291
aa356,Rose,2,810,203
aa357,Rose,1,140,732
aa358,Rose,2,240,431
aa359,Rose,1,990,442
aa360,Rose,1,560,31
aa361,Rose,2,970,139
aa362,Rose,1,870,249
aa363,Rose,2,340,603
aa364,Rose,1,140,381
aa365,Rose,1,670,639
aa366,Rose,2,200,814
aa367,Rose,2,520,299
aa368,Rose,1,650,794
aa369,Rose,1,10,574
aa370,Rose,2,660,901
aa371,Rose,2,440,450
aa372,Rose,1,70,527
aa373,Rose,2,160,975
aa374,Rose,1,860,133
aa375,Rose,2,250,352
aa376,Rose,1,100,743
aa377,Rose,2,680,870
aa378,Rose,2,820,839
aa379,Rose,2,990,750
aa380,Rose,1,130,637
aa381,Rose,2,300,499
aa382,Rose,1,210,49
aa383,Rose,1,410,607
aa384,Rose,1,950,548
aa385,Rose,1,200,13
aa386,Rose,1,580,383
aa387,Rose,2,360,995
aa388,Rose,1,900,570
aa389,Rose,1,70,61
aa390,Rose,1,770,285
aa391,Rose,2,120,85
aa392,Rose,2,50,580
aa393,Rose,2,30,730
aa394,Rose,2,70,392
aa395,Rose,2,210,718
aa396,Rose,1,500,252
aa397,Rose,1,750,424
aa398,Rose,1,1000,809
aa399,Rose,1,800,274
aa400,Rose,2,170,370
aa401,Rose,2,750,257
aa402,Rose,1,270,467
aa403,Rose,1,710,607
aa404,Rose,1,470,145
aa405,Rose,1,290,332
aa406,Rose,2,500,780
aa407,Rose,1,900,330
aa408,Rose,2,330,914
aa409,Rose,1,470,128
aa410,Rose,2,690,83
aa411,Rose,2,260,861
aa412,Rose,2,280,211
aa413,Rose,1,330,177
aa414,Rose,2,810,943
aa415,Rose,2,940,919
aa416,Rose,2,650,733
aa417,Rose,1,630,208
aa418,Rose,2,420,814
aa419,Rose,1,810,909
aa420,Rose,2,270,121
aa421,Rose,2,360,820
aa422,Rose,1,170,709
aa423,Rose,2,790,235
aa424,Rose,1,180,512
aa425,Rose,2,240,54
aa426,Rose,1,820,642
aa427,Rose,2,330,457
aa428,Rose,1,370,647
aa429,Rose,1,240,995
aa430,Rose,1,310,319
aa431,Rose,2,330,436
aa432,Rose,2,980,597
aa433,Rose,2,20,309
aa434,Rose,1,820,119
aa435,Rose,2,990,176
aa436,Rose,2,950,583
aa437,Rose,2,30,329
aa438,Rose,2,930,379
aa439,Rose,1,10,679
aa440,Rose,1,250,557
aa441,Rose,1,1000,297
aa442,Rose,2,560,948
aa443,Rose,1,730,738
aa444,Rose,2,760,43
aa445,Rose,1,470,679
aa446,Rose,2,150,532
aa447,Rose,1,980,674
aa448,Rose,1,610,279
aa449,Rose,1,690,728
aa450,Rose,2,760,318
aa451,Rose,2,420,720
aa452,Rose,2,800,904
aa453,Rose,2,780,861
aa454,Rose,1,140,900
aa455,Rose,1,770,618
aa456,Rose,2,810,649
aa457,Rose,2,250,388
aa458,Rose,2,140,740
aa459,Rose,2,30,268
aa460,Rose,2,600,390
aa461,Rose,2,530,205
aa462,Rose,1,340,381
aa463,Rose,2,120,984
aa464,Rose,1,750,867
aa465,Rose,1,600,712
aa466,Rose,2,160,111
aa467,Rose,1,280,346
aa468,Rose,2,950,120
aa469,Rose,2,340,302
aa470,Rose,1,100,297
aa471,Rose,2,360,453
aa472,Rose,1,260,995
aa473,Rose,1,290,727
aa474,Rose,1,600,860
aa475,Rose,1,710,50
aa476,Rose,2,60,391
aa477,Rose,1,90,690
aa478,Rose,2,80,90
aa479,Rose,1,540,666
aa480,Rose,2,410,836
aa481,Rose,1,620,441
aa482,Rose,2,690,878
aa483,Rose,1,430,298
aa484,Rose,1,960,353
aa485,Rose,1,470,307
aa486,Rose,2,220,362
aa487,Rose,2,520,245
aa488,Rose,2,410,84
aa489,Rose,2,340,374
aa490,Rose,2,560,862
aa491,Rose,2,340,99
aa492,Rose,1,770,530
aa493,Rose,1,660,812
aa494,Rose,1,300,702
aa495,Rose,1,520,75
aa496,Rose,1,550,568
aa497,Rose,1,320,886
aa498,Rose,1,230,750
aa499,Rose,1,780,160
aa500,Rose,2,110,807
aa501,Rose,1,110,270
aa502,Rose,1,270,133
aa503,Rose,2,360,761
aa504,Rose,2,900,744
aa505,Rose,1,240,578
aa506,Rose,2,370,189
aa507,Rose,1,830,691
aa508,Rose,2,330,547
aa509,Rose,1,30,796
aa510,Rose,2,290,237
aa511,Rose,1,910,183
aa512,Rose,1,430,94
aa513,Rose,2,250,715
aa514,Rose,1,120,299
aa515,Rose,2,230,115
aa516,Rose,2,350,304
aa517,Rose,2,740,76
aa518,Rose,2,510,415
aa519,Rose,1,730,413
aa520,Rose,2,770,506
aa521,Rose,2,60,354
aa522,Rose,1,10,994
aa523,Rose,1,860,87
aa524,Rose,1,750,585
aa525,Rose,1,240,266
aa526,Rose,1,630,337
aa527,Rose,2,480,528
aa528,Rose,2,230,108
aa529,Rose,2,120,632
aa530,Rose,2,20,49
aa531,Rose,2,390,61
aa532,Rose,2,810,300
aa533,Rose,2,670,486
aa534,Rose,2,320,969
aa535,Rose,1,360,626
aa536,Rose,1,480,887
aa537,Rose,2,240,990
aa538,Rose,1,450,729
aa539,Rose,2,90,454
aa540,Rose,1,620,659
aa541,Rose,1,190,196
aa542,Rose,1,340,935
aa543,Rose,2,980,189
aa544,Rose,2,120,716
aa545,Rose,1,690,524
aa546,Rose,2,720,67
aa547,Rose,2,80,333
aa548,Rose,1,870,962
aa549,Rose,2,730,490
aa550,Rose,1,700,826
aa551,Rose,1,700,319
aa552,Rose,2,10,483
aa553,Rose,2,120,326
aa554,Rose,1,490,753
aa555,Rose,1,970,222
aa556,Rose,2,270,148
aa557,Rose,2,890,545
aa558,Rose,2,280,703
aa559,Rose,1,740,146
aa560,Rose,2,540,596
aa561,Rose,2,690,185
aa562,Rose,2,180,835
aa563,Rose,1,720,311
aa564,Rose,1,390,681
aa565,Rose,1,380,640
aa566,Rose,1,980,179
aa567,Rose,1,40,749
aa568,Rose,2,600,850
aa569,Rose,2,900,491
aa570,Rose,1,450,613
aa571,Rose,1,1000,629
aa572,Rose,1,660,83
aa573,Rose,1,270,688
aa574,Rose,1,200,293
aa575,Rose,1,910,419
aa576,Rose,1,70,546
aa577,Rose,1,670,707
aa578,Rose,2,960,774
aa579,Rose,2,450,847
aa580,Rose,2,630,925
aa581,Rose,1,390,994
aa582,Rose,2,400,512
aa583,Rose,2,240,178
aa584,Rose,1,430,980
aa585,Rose,2,50,785
aa586,Rose,1,740,956
aa587,Rose,2,840,602
aa588,Rose,1,400,13
aa589,Rose,1,480,682
aa590,Rose,1,650,454
aa591,Rose,1,450,210
aa592,Rose,1,110,730
aa593,Rose,2,840,735
aa594,Rose,1,240,284
aa595,Rose,1,830,637
aa596,Rose,2,780,98
aa597,Rose,2,940,717
aa598,Rose,1,150,538
aa599,Rose,1,760,146
aa600,Rose,1,460,615
aa601,Rose,1,740,699
aa602,Rose,2,210,953
aa603,Rose,1,150,682
aa604,Rose,1,590,202
aa605,Rose,1,900,136
aa606,Rose,1,730,599
aa607,Rose,1,890,408
aa608,Rose,2,20,300
aa609,Rose,1,330,251
aa610,Rose,1,100,724
aa611,Rose,2,800,480
aa612,Rose,2,210,615
aa613,Rose,2,60,338
aa614,Rose,2,930,839
aa615,Rose,2,790,84
aa616,Rose,1,750,855
aa617,Rose,1,210,491
aa618,Rose,2,220,257
aa619,Rose,1,400,996
aa620,Rose,2,890,730
aa621,Rose,2,350,262
aa622,Rose,2,20,406
aa623,Rose,2,720,187
aa624,Rose,2,230,585
aa625,Rose,1,480,6
aa626,Rose,1,450,59
aa627,Rose,1,730,661
aa628,Rose,1,300,266
aa629,Rose,2,140,682
aa630,Rose,2,870,279
aa631,Rose,2,200,807
aa632,Rose,1,720,901
aa633,Rose,1,440,150
aa634,Rose,1,660,928
aa635,Rose,2,950,45
aa636,Rose,1,950,516
aa637,Rose,1,520,62
aa638,Rose,1,210,325
aa639,Rose,2,490,671
aa640,Rose,1,970,587
aa641,Rose,2,100,712
aa642,Rose,2,490,406
aa643,Rose,1,870,373
aa644,Rose,2,740,303
aa645,Rose,1,300,607
aa646,Rose,1,320,650
aa647,Rose,2,620,967
aa648,Rose,2,800,299
aa649,Rose,2,770,859
aa650,Rose,2,930,903
aa651,Rose,2,460,184
aa652,Rose,1,960,134
aa653,Rose,1,310,311
aa654,Rose,1,30,317
aa655,Rose,2,390,274
aa656,Rose,1,750,263
aa657,Rose,2,240,952
aa658,Rose,2,220,169
aa659,Rose,1,510,197
aa660,Rose,2,320,421
aa661,Rose,1,840,160
aa662,Rose,1,20,460
aa663,Rose,2,20,547
aa664,Rose,2,980,40
aa665,Rose,2,440,183
aa666,Rose,1,750,517
aa667,Rose,1,810,55
aa668,Rose,1,990,809
aa669,Rose,2,430,388
aa670,Rose,2,270,537
aa671,Rose,1,140,421
aa672,Rose,2,740,74
aa673,Rose,1,680,76
aa674,Rose,2,330,649
aa675,Rose,1,110,749
aa676,Rose,2,840,38
aa677,Rose,2,680,780
aa678,Rose,2,820,588
aa679,Rose,2,10,517
aa680,Rose,1,980,975
aa681,Rose,1,260,896
aa682,Rose,2,640,761
aa683,Rose,1,1000,642
aa684,Rose,1,390,629
aa685,Rose,1,250,706
aa686,Rose,1,980,874
aa687,Rose,2,160,684
aa688,Rose,2,700,422
aa689,Rose,1,630,251
aa690,Rose,2,610,775
aa691,Rose,2,670,828
aa692,Rose,1,70,169
aa693,Rose,1,670,547
aa694,Rose,2,650,720
aa695,Rose,2,300,828
aa696,Rose,1,830,54
aa697,Rose,2,180,723
aa698,Rose,1,890,352
aa699,Rose,1,490,661
aa700,Rose,2,220,428
aa701,Rose,2,680,938
aa702,Rose,1,800,67
aa703,Rose,2,300,670
aa704,Rose,2,780,872
aa705,Rose,1,980,311
aa706,Rose,1,210,162
aa707,Rose,2,750,712
aa708,Rose,1,500,633
aa709,Rose,2,80,606
aa710,Rose,2,900,102
aa711,Rose,2,10,856
aa712,Rose,2,390,738
aa713,Rose,2,360,657
aa714,Rose,2,330,48
aa715,Rose,1,860,240
aa716,Rose,2,490,100
aa717,Rose,2,460,579
aa718,Rose,1,90,413
aa719,Rose,1,340,222
aa720,Rose,1,530,477
aa721,Rose,2,40,905
aa722,Rose,1,540,643
aa723,Rose,1,380,658
aa724,Rose,2,840,518
aa725,Rose,1,390,791
aa726,Rose,1,900,891
aa727,Rose,1,470,366
aa728,Rose,1,350,41
aa729,Rose,2,570,240
aa730,Rose,1,60,197
aa731,Rose,1,410,305
aa732,Rose,1,350,494
aa733,Rose,2,650,961
aa734,Rose,2,320,300
aa735,Rose,2,10,453
aa736,Rose,2,880,54
aa737,Rose,1,380,336
aa738,Rose,1,210,762
aa739,Rose,2,540,411
aa740,Rose,1,560,423
aa741,Rose,1,10,973
aa742,Rose,1,670,860
aa743,Rose,1,650,363
aa744,Rose,2,590,111
aa745,Rose,1,310,614
aa746,Rose,1,190,218
aa747,Rose,1,850,860
aa748,Rose,1,980,993
aa749,Rose,1,800,725
aa750,Rose,2,280,74
aa751,Rose,2,430,132
aa752,Rose,2,570,288
aa753,Rose,1,970,457
aa754,Rose,2,580,499
aa755,Rose,1,230,925
aa756,Rose,2,380,649
aa757,Rose,2,580,536
aa758,Rose,2,880,89
aa759,Rose,1,70,322
aa760,Rose,1,360,436
aa761,Rose,1,960,810
aa762,Rose,1,900,290
aa763,Rose,2,790,102
aa764,Rose,1,490,449
aa765,Rose,2,600,429
aa766,Rose,2,650,920
aa767,Rose,2,10,987
aa768,Rose,2,730,410
aa769,Rose,1,320,980
aa770,Rose,2,590,845
aa771,Rose,2,300,669
aa772,Rose,2,880,395
aa773,Rose,1,460,122
aa774,Rose,1,900,951
aa775,Rose,2,880,710
aa776,Rose,2,700,836
aa777,Rose,1,450,741
aa778,Rose,1,900,554
aa779,Rose,1,950,819
aa780,Rose,1,830,362
aa781,Rose,1,440,794
aa782,Rose,2,490,860
aa783,Rose,1,940,981
aa784,Rose,2,470,123
aa785,Rose,2,490,65
aa786,Rose,1,430,969
aa787,Rose,2,930,778
aa788,Rose,2,600,14
aa789,Rose,1,740,785
aa790,Rose,1,890,507
aa791,Rose,1,310,469
aa792,Rose,2,980,749
aa793,Rose,1,440,483
aa794,Rose,1,450,643
aa795,Rose,1,640,800
aa796,Rose,1,870,81
aa797,Rose,1,120,100
aa798,Rose,2,670,200
aa799,Rose,2,450,2
aa800,Rose,2,390,239
aa801,Rose,1,780,998
aa802,Rose,2,530,810
aa803,Rose,2,130,485
aa804,Rose,1,80,92
aa805,Rose,1,260,110
aa806,Rose,1,140,577
aa807,Rose,1,360,745
aa808,Rose,1,500,586
aa809,Rose,1,890,902
aa810,Rose,1,300,709
aa811,Rose,2,940,979
aa812,Rose,2,240,9
aa813,Rose,1,520,26
aa814,Rose,1,690,617
aa815,Rose,2,760,816
aa816,Rose,2,870,475
aa817,Rose,2,490,520
aa818,Rose,1,360,250
aa819,Rose,2,630,248
aa820,Rose,1,550,595
aa821,Rose,1,680,443
aa822,Rose,2,40,185
aa823,Rose,1,90,667
aa824,Rose,2,220,678
aa825,Rose,2,220,401
aa826,Rose,2,600,728
aa827,Rose,1,970,912
aa828,Rose,1,250,43
aa829,Rose,1,30,919
aa830,Rose,2,30,746
aa831,Rose,2,450,127
aa832,Rose,1,1000,652
aa833,Rose,1,650,860
aa834,Rose,1,670,170
aa835,Rose,2,310,104
aa836,Rose,2,560,897
aa837,Rose,1,220,653
aa838,Rose,2,60,552
aa839,Rose,1,60,675
aa840,Rose,2,100,27
aa841,Rose,2,300,982
aa842,Rose,2,310,589
aa843,Rose,1,230,359
aa844,Rose,1,280,351
aa845,Rose,2,870,790
aa846,Rose,1,800,257
aa847,Rose,2,110,928
aa848,Rose,1,780,948
aa849,Rose,2,70,796
aa850,Rose,1,980,976
aa851,Rose,1,150,668
aa852,Rose,2,130,348
aa853,Rose,2,470,110
aa854,Rose,1,760,116
aa855,Rose,1,900,519
aa856,Rose,1,470,805
aa857,Rose,1,40,448
aa858,Rose,2,490,982
aa859,Rose,2,780,841
aa860,Rose,1,960,765
aa861,Rose,2,560,609
aa862,Rose,1,730,699
aa863,Rose,2,90,602
aa864,Rose,1,520,7
aa865,Rose,1,770,669
aa866,Rose,2,70,422
aa867,Rose,2,370,651
aa868,Rose,1,480,758
aa869,Rose,2,30,669
aa870,Rose,1,920,395
aa871,Rose,1,330,272
aa872,Rose,1,390,557
aa873,Rose,1,240,288
aa874,Rose,2,940,710
aa875,Rose,1,740,609
aa876,Rose,1,430,1
aa877,Rose,2,330,317
aa878,Rose,2,910,275
aa879,Rose,2,210,861
aa880,Rose,2,920,143
aa881,Rose,1,820,89
aa882,Rose,2,330,348
aa883,Rose,2,80,398
aa884,Rose,2,310,569
aa885,Rose,2,950,275
aa886,Rose,1,660,342
aa887,Rose,2,400,836
aa888,Rose,1,80,465
aa889,Rose,2,70,454
aa890,Rose,2,560,692
aa891,Rose,1,940,75
aa892,Rose,1,640,126
aa893,Rose,1,210,599
aa894,Rose,1,270,76
aa895,Rose,1,430,980
aa896,Rose,2,150,123
aa897,Rose,2,260,253
aa898,Rose,2,270,671
aa899,Rose,1,740,750
aa900,Rose,1,470,82
aa901,Rose,1,460,573
aa902,Rose,2,860,55
aa903,Rose,1,60,242
aa904,Rose,2,530,596
aa905,Rose,2,870,518
aa906,Rose,1,270,347
aa907,Rose,1,370,379
aa908,Rose,2,860,676
aa909,Rose,2,390,731
aa910,Rose,2,40,75
aa911,Rose,1,110,309
aa912,Rose,2,390,451
aa913,Rose,2,980,442
aa914,Rose,2,480,578
aa915,Rose,2,880,761
aa916,Rose,2,10,108
aa917,Rose,2,600,829
aa918,Rose,2,230,561
aa919,Rose,1,760,957
aa920,Rose,1,160,7
aa921,Rose,2,490,496
aa922,Rose,2,620,622
aa923,Rose,1,720,441
aa924,Rose,1,780,196
aa925,Rose,1,910,824
aa926,Rose,1,800,642
aa927,Rose,2,580,138
aa928,Rose,2,10,373
aa929,Rose,1,1000,414
aa930,Rose,1,380,155
aa931,Rose,1,630,30
aa932,Rose,2,110,830
aa933,Rose,2,420,580
aa934,Rose,2,500,810
aa935,Rose,1,610,457
aa936,Rose,2,50,697
aa937,Rose,2,100,549
aa938,Rose,1,30,595
aa939,Rose,1,620,994
aa940,Rose,1,820,83
aa941,Rose,1,300,801
aa942,Rose,2,740,453
aa943,Rose,2,300,196
aa944,Rose,2,880,149
aa945,Rose,2,630,513
aa946,Rose,2,90,352
aa947,Rose,2,620,567
aa948,Rose,1,260,834
aa949,Rose,2,630,236
aa950,Rose,1,780,563
aa951,Rose,2,820,354
aa952,Rose,2,300,662
aa953,Rose,2,180,215
aa954,Rose,2,940,310
aa955,Rose,1,360,697
aa956,Rose,2,600,611
aa957,Rose,2,540,565
aa958,Rose,2,800,415
aa959,Rose,1,350,250
aa960,Rose,1,390,685
aa961,Rose,2,170,860
aa962,Rose,2,450,593
aa963,Rose,2,920,95
aa964,Rose,1,670,610
aa965,Rose,1,520,44
aa966,Rose,1,770,494
aa967,Rose,2,180,404
aa968,Rose,2,330,618
aa969,Rose,1,970,108
aa970,Rose,2,50,858
aa971,Rose,2,350,330
aa972,Rose,1,600,134
aa973,Rose,1,10,442
aa974,Rose,2,250,304
aa975,Rose,1,950,742
aa976,Rose,1,540,274
aa977,Rose,2,460,790
aa978,Rose,2,530,962
aa979,Rose,2,850,592
aa980,Rose,1,340,652
aa981,Rose,1,970,483
aa982,Rose,1,720,125
aa983,Rose,2,330,566
aa984,Rose,1,960,588
aa985,Rose,1,740,368
aa986,Rose,2,400,666
aa987,Rose,2,510,592
aa988,Rose,2,520,281
aa989,Rose,2,610,251
aa990,Rose,2,320,300
aa991,Rose,2,660,205
aa992,Rose,1,350,924
aa993,Rose,1,380,266
aa994,Rose,1,570,932
